# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	5390
#@/user_id	arsiendle_ph
a;ka 	啊	c=9 d=1.45172 t=5390
zhǎo;fg wǒ;pd,pp 	找我	c=0 d=0.00478349 t=5390
zhǐ;fv dìng;bp 	指定	c=1 d=0.222017 t=5390
zhǐ;kb 	只	c=7 d=2.63132 t=5390
zhǐ;kb gǎi;wj,jw 	只改	c=1 d=0.0335406 t=5390
zhǐ;kb néng;sb 	只能	c=4 d=0.628248 t=5390
zhǐ;kb néng;sb shuō;yd 	只能说	c=2 d=0.289384 t=5390
zhǐ;kb shì;op,ov 	只是	c=13 d=0.475771 t=5390
zhǐ;kb shì;zu hé;rk 	只适合	c=2 d=0.106995 t=5390
zhǐ;kb yào;xn 	只要	c=1 d=5.18542e-10 t=5390
zhǐ;kb yòng;kf 	只用	c=2 d=0.67032 t=5390
zhǐ;kb yǒu;ou,uo 	只有	c=9 d=1.22326 t=5390
zhǐ;kb àn;fa 	只按	c=1 d=0.000710174 t=5390
zhǔ;dw dòng;ly,yl 	主动	c=1 d=0.00067217 t=5390
zhǔ;dw tí;uy,yu 	主题	c=8 d=1.03989 t=5390
zhǔ;dw yào;xn 	主要	c=4 d=0.873716 t=5390
zuì;oq 	最	c=1 d=0.00032882 t=5390
zuì;oq dǐ;gd xià;ab,ad 	最底下	c=1 d=0.778801 t=5390
zuì;oq dǐng;dy,yd 	最顶	c=1 d=0.755784 t=5390
zuì;oq hǎo;nz 	最好	c=2 d=0.0400258 t=5390
zuì;oq jìn;zj 	最近	c=1 d=0.0889216 t=5390
zuì;oq xiǎo;ad 	最小	c=1 d=0.188247 t=5390
zuì;oq xīn;jq 	最新	c=3 d=0.88692 t=5390
zuì;oq xīn;jq bǎn;pf 	最新版	c=1 d=0.606531 t=5390
zuò;rg 	做	c=1 d=0.0455019 t=5390
zuò;rg de;bu tí;uy,yu 	做的题	c=1 d=0.0142642 t=5390
zuò;rg dào;dv 	做到	c=1 d=0.138761 t=5390
zuò;rg dé;xc hǎo;nz 	做得好	c=0 d=0.0123687 t=5390
zuò;rg dé;xc hǎo;nz chà;yg 	做得好差	c=1 d=0.124307 t=5390
zuò;rg guò;zc 	做过	c=2 d=1.25633 t=5390
zuò;rg gè;ra,pa 	做个	c=1 d=0.289384 t=5390
zuò;rg hǎo;nz 	做好	c=1 d=0.000916452 t=5390
zuò;rg le;aa,vu 	做了	c=1 d=0.0376283 t=5390
zuò;rg shén;ru me;ps 	做什么	c=2 d=0.282221 t=5390
zuò;rg shén;ru me;ps de;bu 	做什么的	c=1 d=0.000248517 t=5390
zuò;rv 	作	c=1 d=0.092089 t=5390
zuò;rv wéi;dd 	作为	c=3 d=0.470011 t=5390
zuò;rv yè;aa 	作业	c=14 d=0.197538 t=5390
zuò;tc,tr,rt 	坐	c=1 d=0.0515604 t=5390
zuó;ov tiān;ad 	昨天	c=4 d=0.153892 t=5390
zuǒ;gu,ug biān;zl 	左边	c=2 d=0.0476991 t=5390
zài;aa,at 	再	c=15 d=0.511577 t=5390
zài;aa,at qù;ts 	再去	c=2 d=0.0942454 t=5390
zài;aa,at shì;yu shì;yu 	再试试	c=1 d=0.00344786 t=5390
zài;aa,at shì;yu yí;aa cì;dq 	再试一次	c=1 d=3.70933e-10 t=5390
zài;ta,ut 	在	c=32 d=2.32364 t=5390
zài;ta,ut shuō;yd 	在说	c=1 d=2.30599e-06 t=5390
zài;ta,ut shuō;yd shén;ru me;ps 	在说什么	c=1 d=0.00794669 t=5390
zài;ta,ut shì;yu le;aa,vu 	在试了	c=1 d=2.81654e-06 t=5390
zài;ta,ut xiàn;sj 	在线	c=2 d=0.99005 t=5390
zào;zg cí;ys 	造词	c=4 d=0.790579 t=5390
zé;bd,db 	则	c=2 d=0.718924 t=5390
zé;bd,db huì;ry 	则会	c=1 d=0.0497871 t=5390
zì;bz 	字	c=4 d=0.548812 t=5390
zì;bz cí;ys 	字词	c=1 d=0.232236 t=5390
zì;bz fú;vf 	字符	c=1 d=0.205975 t=5390
zì;bz miàn;aa 	字面	c=1 d=3.17673e-10 t=5390
zì;bz mǔ;ad,vd 	字母	c=10 d=1.18691 t=5390
zì;bz tǐ;rb 	字体	c=1 d=0.00277551 t=5390
zì;pa,po dài;jb 	自带	c=4 d=1.68887 t=5390
zì;pa,po dìng;bp yì;di,id 	自定义	c=0 d=0.0481909 t=5390
zì;pa,po dìng;bp yì;di,id cí;ys kù;gi 	自定义词库	c=1 d=0.484325 t=5390
zì;pa,po dòng;ly,yl 	自动	c=7 d=1.39957 t=5390
zì;pa,po dòng;ly,yl gēng;ad,ag xīn;jq 	自动更新	c=1 d=0.240508 t=5390
zì;pa,po jǐ;ag,vg 	自己	c=14 d=3.11823 t=5390
zì;pa,po jǐ;ag,vg gǎi;wj,jw 	自己改	c=0 d=1.45573e-07 t=5390
zì;pa,po rán;hq mǎ;um 	自然码	c=3 d=0.442416 t=5390
zì;pa,po rán;hq ér;aa rán;hq 	自然而然	c=1 d=0.847894 t=5390
zì;pa,po yòng;kf 	自用	c=5 d=2.83326 t=5390
zāo;zc 	遭	c=1 d=0.170333 t=5390
zēng;tc jiā;lk,kl 	增加	c=1 d=0.0203876 t=5390
zēng;tc jiā;lk,kl jiàn;jj 	增加键	c=1 d=0.0161635 t=5390
zěn;xv me;ps 	怎么	c=24 d=1.10105 t=5390
zěn;xv me;ps gè;ra,pa 	怎么个	c=1 d=0.00509243 t=5390
zěn;xv me;ps huí;kk shì;aa 	怎么回事	c=1 d=0.00334597 t=5390
zěn;xv me;ps le;aa,vu 	怎么了	c=4 d=1.52362 t=5390
zěn;xv me;ps xiě;by 	怎么写	c=1 d=0.0387742 t=5390
zěn;xv me;ps yòng;kf 	怎么用	c=1 d=0.433874 t=5390
zī;bc yuán;dy guǎn;vg lǐ;wl qì;kk,qk 	资源管理器	c=1 d=0.00196945 t=5390
zī;jc ma;km 	鈭吗	c=1 d=0.336216 t=5390
zūn;cq,qc 	尊	c=1 d=0.0507928 t=5390
zūn;zz xún;xd 	遵循	c=2 d=1.0059 t=5390
àn;fa 	按	c=15 d=1.55627 t=5390
àn;fa bú;ad,ax dào;dv 	按不到	c=1 d=0.000696112 t=5390
àn;fa jiàn;jj 	按键	c=4 d=0.891472 t=5390
àn;fa xià;ab,ad 	按下	c=3 d=0.0485578 t=5390
àn;fa zhào;hv 	按照	c=1 d=0.0135686 t=5390
àn;oy sè;db 	暗色	c=1 d=0.932394 t=5390
áng;oe 	昂	c=1 d=0.0047009 t=5390
èr;aa hé;dk 	二河	c=1 d=0.00364281 t=5390
èr;aa zhě;lo,ol 	二者	c=1 d=0.474734 t=5390
é;yk 	额	c=1 d=0.0247235 t=5390
éi;yu,yy 	诶	c=7 d=0.65788 t=5390
ér;aa 	而	c=8 d=0.835796 t=5390
ér;aa qiě;aa 	而且	c=4 d=0.665396 t=5390
ér;aa shì;op,ov 	而是	c=1 d=0.136014 t=5390
ó;kw 	哦	c=14 d=2.34061 t=5390
ó;kw ó;kw 	哦哦	c=6 d=0.99005 t=5390
ó;kw ó;kw ó;kw 	哦哦哦	c=4 d=1.316 t=5390
ā;ek lǐ;aa,tt 	阿里	c=3 d=0.0793878 t=5390
ā;ek lǐ;aa,tt bǎo;rd biāo;jp 	阿里保镖	c=1 d=0.0227089 t=5390
āi;ky,ku 	唉	c=1 d=0.904837 t=5390
ān;bn pái;ff 	安排	c=1 d=0.0365162 t=5390
ān;bn zhuó;bu,uo 	安卓	c=1 d=0.951229 t=5390
ōu;qq bǎn;pf 	欧版	c=3 d=0.0779759 t=5390
ōu;qq bǎn;pf jiàn;jj pán;mv,vm 	欧版键盘	c=1 d=0.0219278 t=5390
ǒu;ry ěr;dx,xd 	偶尔	c=0 d=0.000323088 t=5390
ǒu;ry ěr;dx,xd dǎ;fd 	偶尔打	c=0 d=0.000219846 t=5390
ǒu;ry ěr;dx,xd dǎ;fd dǎ;fd 	偶尔打打	c=1 d=0.00220948 t=5390
ǒu;ry ěr;dx,xd yě;gg néng;sb 	偶尔也能	c=1 d=0.00324708 t=5390
ǹ;ke 	嗯	c=1 d=0.00470091 t=5390
